player_name,game_date,events,stand,batter,pitcher,hc_x,hc_y,launch_speed,launch_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_woba_using_speedangle
"Bichette, Bo",2023-08-20,triple,R,666182,668881,144.88,39.66,100.6,29,395,0.572,1.0987333333333331
"Bichette, Bo",2023-08-19,single,R,666182,682227,119.94,98.81,107.4,1,65,0.524,0.476
"Bichette, Bo",2023-08-19,field_out,R,666182,682227,172.06,174.57,81.9,67,133,0.001,0
"Bichette, Bo",2023-08-19,field_out,R,666182,682227,101.16,165.48,90.7,-15,8,0.112,0.115
"Bichette, Bo",2023-08-19,field_out,R,666182,518585,88.2,101.11,83.3,20,262,0.787,0.772
"Bichette, Bo",2023-07-31,single,R,666182,502043,182.38,143.04,101.4,2,85,0.511,0.47
"Bichette, Bo",2023-07-31,single,R,666182,502043,113.91,184.26,67.3,-69,1,0.204,0.212
"Bichette, Bo",2023-07-30,field_out,R,666182,542881,199.93,112.68,86.2,37,286,0.011,0.015
"Bichette, Bo",2023-07-30,field_out,R,666182,608032,126.18,182.2,59,-54,1,0.272,0.261
"Bichette, Bo",2023-07-30,field_out,R,666182,519043,137.94,107.34,86,50,232,0.008,0.007
"Bichette, Bo",2023-07-30,single,R,666182,542881,98.73,87.84,99.9,5,133,0.582,0.557
"Bichette, Bo",2023-07-29,single,R,666182,672282,163.35,84.83,87.4,16,227,0.968,0.912
"Bichette, Bo",2023-07-29,field_out,R,666182,571901,130.35,195.42,NA,NA,NA,NA,NA
"Bichette, Bo",2023-07-29,field_out,R,666182,642545,164.92,181.47,70.1,64,130,0.003,0.002
"Bichette, Bo",2023-07-29,field_out,R,666182,672282,107.3,132.61,88.5,-23,5,0.068,0.073
"Bichette, Bo",2023-07-29,double,R,666182,625643,53.56,124.78,79.2,16,178,0.895,0.837
"Bichette, Bo",2023-07-28,double,R,666182,608337,68.48,63.72,111.8,15,363,0.496,0.6726666666666666
"Bichette, Bo",2023-07-28,grounded_into_double_play,R,666182,608337,118.38,161.37,103.9,-10,14,0.309,0.278
"Bichette, Bo",2023-07-28,single,R,666182,667755,164.76,110.72,70.8,16,165,0.584,0.526
"Bichette, Bo",2023-07-28,field_out,R,666182,608337,148.42,172.19,41.5,-8,15,0.191,0.179
"Bichette, Bo",2023-07-26,single,R,666182,664062,122.74,87,94.1,5,106,0.511,0.489
"Bichette, Bo",2023-07-26,single,R,666182,664062,88.77,96.41,82.5,16,214,0.974,0.919
"Bichette, Bo",2023-07-26,single,R,666182,668338,86.73,107.51,108.6,7,210,0.692,0.643
"Bichette, Bo",2023-07-26,field_out,R,666182,664062,131.62,133.8,102.3,-2,42,0.476,0.435
"Bichette, Bo",2023-07-25,double,R,666182,628711,53.78,68.42,97.8,22,368,0.332,0.408
"Bichette, Bo",2023-07-25,home_run,R,666182,628711,67.96,43.12,105.7,24,411,0.834,1.6079264705882348
"Bichette, Bo",2023-07-25,single,R,666182,660813,182.99,119.65,92.3,14,244,0.955,0.903
"Bichette, Bo",2023-07-25,single,R,666182,628711,77.49,98.63,86.3,19,239,0.732,0.698
"Bichette, Bo",2023-07-25,field_out,R,666182,677865,75.06,79.48,91.2,24,322,0.124,0.149
"Bichette, Bo",2023-07-24,field_out,R,666182,623465,188.91,114.82,85.3,43,261,0.013,0.016
"Bichette, Bo",2023-07-23,field_out,R,666182,693433,84.19,84.99,82.6,26,302,0.142,0.128
"Bichette, Bo",2023-07-23,field_out,R,666182,693433,136.81,182,65.6,-35,4,0.061,0.066
"Bichette, Bo",2023-07-22,field_out,R,666182,669302,125.5,196.14,45.8,-69,1,0.225,0.23
"Bichette, Bo",2023-07-22,field_out,R,666182,669302,145.93,154.12,95.7,-12,11,0.18,0.173
"Bichette, Bo",2023-07-22,force_out,R,666182,666374,115.01,149.55,77,-10,10,0.08,0.072
"Bichette, Bo",2023-07-22,field_out,R,666182,669302,180.92,120.51,77.1,40,240,0.105,0.117
"Bichette, Bo",2023-07-21,force_out,R,666182,682243,117.54,157.66,73.2,-17,5,0.059,0.053
"Bichette, Bo",2023-07-21,field_out,R,666182,682243,192.53,116.11,85.7,21,264,0.437,0.41
"Bichette, Bo",2023-07-20,force_out,R,666182,689690,115.09,153.29,68.7,10,98,0.241,0.223
"Bichette, Bo",2023-07-20,grounded_into_double_play,R,666182,605483,99.64,158.19,67,-26,4,0.035,0.05
"Bichette, Bo",2023-07-19,single,R,666182,506433,71.91,104.65,74.3,24,234,0.916,0.853
"Bichette, Bo",2023-07-19,field_out,R,666182,506433,204.78,109.05,91.8,31,295,0.095,0.139
"Bichette, Bo",2023-07-19,single,R,666182,607259,145.63,85.02,91.9,9,152,0.637,0.592
"Bichette, Bo",2023-07-18,single,R,666182,605397,91.82,137.84,96.4,-11,9,0.206,0.186
"Bichette, Bo",2023-07-18,field_out,R,666182,605397,173.99,81.71,95.9,40,314,0.071,0.121
"Bichette, Bo",2023-07-18,single,R,666182,605397,114.04,69.49,97.6,12,241,0.95,0.913
"Bichette, Bo",2023-07-18,field_out,R,666182,689690,103.06,162.07,102.3,-10,10,0.241,0.24
"Bichette, Bo",2023-07-16,single,R,666182,674072,181.98,74.89,102.4,13,292,0.905,0.896
"Bichette, Bo",2023-07-16,field_out,R,666182,674072,187.84,81.26,97.5,23,330,0.319,0.5185
"Bichette, Bo",2023-07-16,field_out,R,666182,543518,150.34,142.01,61.1,-36,3,0.066,0.072
"Bichette, Bo",2023-07-15,field_out,R,666182,668678,134.4,136.25,75.2,12,163,0.387,0.348
"Bichette, Bo",2023-07-15,grounded_into_double_play,R,666182,668678,131.72,181.17,40.2,-38,2,0.262,0.238
"Bichette, Bo",2023-07-15,home_run,R,666182,543518,47.08,65.16,100.8,25,383,0.571,1.0440256410256414
"Bichette, Bo",2023-07-14,field_out,R,666182,669194,98.31,160.5,101.8,-2,40,0.476,0.435
"Bichette, Bo",2023-07-14,single,R,666182,669194,82.62,78.92,104.7,9,230,0.75,0.707
"Bichette, Bo",2023-07-14,single,R,666182,679885,176.9,110.87,110.2,-13,10,0.288,0.262
"Bichette, Bo",2023-07-14,field_out,R,666182,613534,171.24,86.98,99.5,17,301,0.476,0.507
"Bichette, Bo",2023-07-09,grounded_into_double_play,R,666182,669373,104.66,159.06,96.2,-9,17,0.231,0.208
"Bichette, Bo",2023-07-09,field_out,R,666182,681857,166.09,152.24,77.3,62,156,0.013,0.012
"Bichette, Bo",2023-07-08,field_out,R,666182,666159,63.5,127.21,87.4,52,236,0.013,0.013
"Bichette, Bo",2023-07-08,field_out,R,666182,666159,130.76,46.26,105.2,21,378,0.655,1.127428571428572
"Bichette, Bo",2023-07-07,field_out,R,666182,656412,207.47,113.21,97.5,20,293,0.332,0.412
"Bichette, Bo",2023-07-07,field_out,R,666182,669438,152.2,46.24,100,29,382,0.546,1.0543333333333331
"Bichette, Bo",2023-07-07,single,R,666182,670097,130.15,66.74,96.3,16,283,0.663,0.66
"Bichette, Bo",2023-07-07,double,R,666182,669438,41.07,111.88,90.1,16,245,0.947,0.911
"Bichette, Bo",2023-07-07,single,R,666182,542585,124.36,151.71,89.4,-23,4,0.068,0.073
"Bichette, Bo",2023-07-06,single,R,666182,669947,144.91,98.16,80.8,15,196,0.866,0.8
"Bichette, Bo",2023-07-06,single,R,666182,669947,123.68,182.64,36.2,-47,3,0.301,0.271
"Bichette, Bo",2023-07-06,single,R,666182,669424,110.87,109.49,68.8,35,229,0.711,0.711
"Bichette, Bo",2023-07-06,single,R,666182,607481,162.75,134.02,92.1,-21,4,0.12,0.111
"Bichette, Bo",2023-07-06,field_out,R,666182,608665,171.57,94.48,95.7,16,285,0.663,0.66
"Bichette, Bo",2023-07-06,single,R,666182,656820,211.04,109.78,96.7,14,260,0.874,0.861
"Bichette, Bo",2023-07-04,single,R,666182,608337,101.48,174.3,50.6,-62,1,0.247,0.247
"Bichette, Bo",2023-07-04,field_out,R,666182,608337,146.69,146.83,108.4,-1,54,0.474,0.429
"Bichette, Bo",2023-07-04,field_out,R,666182,625643,154.3,168.69,82.1,-33,5,0.047,0.045
"Bichette, Bo",2023-07-04,field_out,R,666182,608665,137.56,90.91,92.7,40,313,0.024,0.038
"Bichette, Bo",2023-07-04,field_out,R,666182,608337,186.23,127.79,86.3,51,232,0.011,0.009
"Bichette, Bo",2023-07-02,single,R,666182,672391,198.88,122.65,107.7,-1,49,0.474,0.429
"Bichette, Bo",2023-07-02,field_out,R,666182,455119,153.39,157.21,95.6,-20,8,0.128,0.115
"Bichette, Bo",2023-07-01,grounded_into_double_play,R,666182,676710,118.22,152.36,104.5,-12,13,0.282,0.254
"Bichette, Bo",2023-07-01,home_run,R,666182,676710,59.15,55.07,104.2,30,392,0.798,1.593877551020408
"Bichette, Bo",2023-07-01,double,R,666182,445276,206.44,82.67,97.7,31,349,0.326,0.6188333333333333
"Bichette, Bo",2023-06-30,field_out,R,666182,572020,58.72,92.97,107.9,15,310,0.663,0.741
"Bichette, Bo",2023-06-29,field_out,R,666182,676775,161.65,153.02,96.8,1,68,0.421,0.392
"Bichette, Bo",2023-06-29,field_out,R,666182,676775,154.9,113.44,74.9,42,227,0.182,0.191
"Bichette, Bo",2023-06-29,field_out,R,666182,663941,194.48,88.28,106.4,16,323,0.587,0.679
"Bichette, Bo",2023-06-29,field_out,R,666182,676775,65.29,90.11,109.2,15,309,0.658,0.743
"Bichette, Bo",2023-06-28,field_out,R,666182,657277,162.53,168.26,47.3,-41,2,0.177,0.169
"Bichette, Bo",2023-06-28,field_out,R,666182,657277,113.27,155.11,91.5,-25,6,0.073,0.077
"Bichette, Bo",2023-06-28,force_out,R,666182,548389,146.6,169.65,81.8,1,51,0.225,0.202
"Bichette, Bo",2023-06-28,single,R,666182,657277,122.05,87.26,87.2,11,181,0.676,0.618
"Bichette, Bo",2023-06-27,single,R,666182,622072,183.74,108.06,96.9,10,190,0.755,0.716
"Bichette, Bo",2023-06-27,double,R,666182,622072,54.88,122.18,97.2,-1,38,0.359,0.323
"Bichette, Bo",2023-06-27,single,R,666182,676254,166.42,95.61,74,23,241,0.953,0.876
"Bichette, Bo",2023-06-25,field_out,R,666182,665622,129.63,178.74,69.4,13,114,0.334,0.301
"Bichette, Bo",2023-06-25,single,R,666182,686610,90.85,106.62,106.1,7,141,0.666,0.614
"Bichette, Bo",2023-06-25,field_out,R,666182,665622,151.45,159.35,NA,-50,2,NA,NA
"Bichette, Bo",2023-06-25,single,R,666182,686610,113.28,178.15,56.1,-49,2,0.231,0.227
"Bichette, Bo",2023-06-24,field_out,R,666182,663687,56.11,90.41,89,28,319,0.068,0.082
"Bichette, Bo",2023-06-24,double,R,666182,663687,189.78,136.6,58.8,28,164,0.482,0.433
"Bichette, Bo",2023-06-24,double,R,666182,660261,54.55,116.58,95.4,3,73,0.471,0.449
"Bichette, Bo",2023-06-24,field_out,R,666182,669674,112.16,163.89,88.4,-30,3,0.061,0.055
"Bichette, Bo",2023-06-23,double,R,666182,621076,37.97,94.15,95.4,25,336,0.197,0.268
"Bichette, Bo",2023-06-23,force_out,R,666182,621076,133.78,149.63,67.3,8,90,0.201,0.193
"Bichette, Bo",2023-06-23,field_out,R,666182,621076,148.47,162.59,94.3,5,114,0.511,0.489
"Bichette, Bo",2023-06-20,single,R,666182,691587,153.8,86.39,94.9,16,289,0.729,0.716
"Bichette, Bo",2023-06-20,field_out,R,666182,691587,101.14,158.64,63,-23,4,0.038,0.046
"Bichette, Bo",2023-06-20,field_out,R,666182,608638,127.91,186.5,78.7,-17,7,0.059,0.062
"Bichette, Bo",2023-06-19,single,R,666182,663773,169.08,110.37,88.5,8,134,0.537,0.487
"Bichette, Bo",2023-06-19,single,R,666182,605151,171.78,131.72,92.9,12,206,0.868,0.814
"Bichette, Bo",2023-06-18,double,R,666182,592351,186.34,61.45,109.4,16,371,0.457,0.64525
"Bichette, Bo",2023-06-18,field_out,R,666182,681982,130.1,182.38,94.5,5,108,0.482,0.433
"Bichette, Bo",2023-06-18,grounded_into_double_play,R,666182,667463,120.13,148.35,102.7,3,77,0.589,0.568
"Bichette, Bo",2023-06-18,field_out,R,666182,669618,118.61,144.29,85,8,114,0.455,0.424
"Bichette, Bo",2023-06-17,field_out,R,666182,641540,93.2,163.93,85.1,-18,3,0.068,0.069
"Bichette, Bo",2023-06-17,force_out,R,666182,641540,102.53,153.95,94.3,-16,8,0.117,0.106
"Bichette, Bo",2023-06-17,field_out,R,666182,622250,104.56,153.95,94.3,-24,4,0.104,0.094
"Bichette, Bo",2023-06-17,double,R,666182,641540,186.07,56.62,102.5,30,381,0.575,1.1250399999999996
"Bichette, Bo",2023-06-16,double,R,666182,527048,187.65,63.89,101.1,17,332,0.484,0.559
"Bichette, Bo",2023-06-16,field_out,R,666182,527048,86.62,157.23,108.7,8,146,0.766,0.735
"Bichette, Bo",2023-06-16,field_out,R,666182,527048,198.98,121.4,87.5,20,269,0.518,0.502
"Bichette, Bo",2023-06-16,field_out,R,666182,600917,113.79,183.64,100.4,1,56,0.445,0.406
"Bichette, Bo",2023-06-15,field_out,R,666182,669330,182.87,150.59,79.9,59,187,0.021,0.021
"Bichette, Bo",2023-06-15,double,R,666182,669330,163.84,77.22,101.2,16,317,0.597,0.636
"Bichette, Bo",2023-06-15,field_out,R,666182,666974,89.79,78.24,84.2,31,312,0.047,0.064
"Bichette, Bo",2023-06-14,field_out,R,666182,680694,97.37,156.85,71.2,13,132,0.355,0.32
"Bichette, Bo",2023-06-14,single,R,666182,680694,181.13,113.03,105.7,6,181,0.668,0.631
"Bichette, Bo",2023-06-14,field_out,R,666182,680694,131.97,170.02,78.2,-3,29,0.112,0.11
"Bichette, Bo",2023-06-14,double,R,666182,657508,100.05,45.98,105.8,21,383,0.694,1.18254
"Bichette, Bo",2023-06-13,field_out,R,666182,665152,202.32,104.35,104.1,16,301,0.547,0.602
"Bichette, Bo",2023-06-13,single,R,666182,665152,81.65,120.41,84,10,155,0.479,0.431
"Bichette, Bo",2023-06-13,field_out,R,666182,641329,83.46,84.8,91.9,44,302,0.005,0.005
"Bichette, Bo",2023-06-13,field_out,R,666182,665152,146.6,148.44,83.6,8,131,0.418,0.377
"Bichette, Bo",2023-06-11,field_out,R,666182,686973,188.75,98.7,87,33,293,0.021,0.026
"Bichette, Bo",2023-06-11,force_out,R,666182,686973,141.15,156.92,81,-39,2,0.055,0.056
"Bichette, Bo",2023-06-11,field_out,R,666182,641941,129.63,182.38,73.6,-14,7,0.053,0.048
"Bichette, Bo",2023-06-11,field_out,R,666182,643377,96.57,154.32,76.1,-29,5,0.04,0.043
"Bichette, Bo",2023-06-10,field_out,R,666182,657746,176.22,90.55,93.8,17,297,0.608,0.598
"Bichette, Bo",2023-06-10,force_out,R,666182,605347,117.36,160.35,102.5,-16,9,0.209,0.188
"Bichette, Bo",2023-06-10,single,R,666182,657746,173.74,127.77,108.6,-2,44,0.45,0.405
"Bichette, Bo",2023-06-09,single,R,666182,543243,174.76,134.39,109.5,-15,9,0.22,0.217
"Bichette, Bo",2023-06-09,field_out,R,666182,543243,100.42,80.75,93.2,43,301,0.008,0.008
"Bichette, Bo",2023-06-08,force_out,R,666182,664285,152.18,165.1,95.9,-14,12,0.206,0.185
"Bichette, Bo",2023-06-08,field_out,R,666182,664285,152.64,50.11,102,36,373,0.46,0.8868461538461541
"Bichette, Bo",2023-06-08,field_out,R,666182,664208,107.82,177.27,54.8,-61,1,0.252,0.243
"Bichette, Bo",2023-06-07,home_run,R,666182,669854,96.91,30.87,106.5,30,426,0.907,1.8095454545454543
"Bichette, Bo",2023-06-07,field_out,R,666182,593576,150.84,167.23,96.9,-15,10,0.206,0.192
"Bichette, Bo",2023-06-06,field_out,R,666182,686613,150.36,168.13,88.9,-31,4,0.071,0.066
"Bichette, Bo",2023-06-06,field_out,R,666182,686613,143.09,143.87,107.9,3,100,0.618,0.592
"Bichette, Bo",2023-06-06,home_run,R,666182,606160,179.73,51.32,103.7,27,389,0.78,1.5334000000000003
"Bichette, Bo",2023-06-05,single,R,666182,656232,178.12,142.38,63,13,115,0.234,0.211
"Bichette, Bo",2023-06-05,field_out,R,666182,656232,151,62.55,105,19,344,0.475,0.7334594594594595
"Bichette, Bo",2023-06-05,single,R,666182,656232,167.96,77.58,100,11,223,0.913,0.893
"Bichette, Bo",2023-06-04,field_out,R,666182,673540,110.15,148.35,79,0,37,0.159,0.149
"Bichette, Bo",2023-06-04,field_out,R,666182,608678,152.8,132.38,91,56,183,0.024,0.033
"Bichette, Bo",2023-06-03,single,R,666182,656731,93.01,121.09,64.9,22,187,0.668,0.602
"Bichette, Bo",2023-06-03,field_out,R,666182,656731,104.23,157.01,77,-19,8,0.076,0.075
